[0001fd] 01fd F5     PUSH AF        AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0001fe] 01fe C5     PUSH BC        AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffb P1=004000 vc=0 bI
[0001ff] 01ff D5     PUSH DE        AF=0080 BC=0000 DE=00d8 HL=97ff SP=cff9 P1=004000 vc=0 bI
[000200] 0200 E5     PUSH HL        AF=0080 BC=0000 DE=00d8 HL=97ff SP=cff7 P1=004000 vc=0 bI
[000201] 0201 F0CE   LD A,(FFCEh)   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[000203] 0203 A7     AND A          AF=0080 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[000204] 0204 2812   JR Z,0218h     AF=00a0 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[000218] 0218 CD4022 CALL 2240h     AF=00a0 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002240] 2240 F098   LD A,(FF98h)   AF=00a0 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002242] 2242 FE03   CP 03h         AF=00a0 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002244] 2244 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00021b] 021b CD2C24 CALL 242Ch     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[00242c] 242c F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00242e] 242e FE13   CP 13h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002430] 2430 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00021e] 021e CD1724 CALL 2417h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002417] 2417 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002419] 2419 FE12   CP 12h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00241b] 241b C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000221] 0221 CDFE23 CALL 23FEh     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023fe] 23fe F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002400] 2400 FE11   CP 11h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002402] 2402 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000224] 0224 CDEC23 CALL 23ECh     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023ec] 23ec F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023ee] 23ee FE10   CP 10h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023f0] 23f0 C0     RET NZ         AF=0050 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000227] 0227 CDDD23 CALL 23DDh     AF=0050 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023dd] 23dd F0E3   LD A,(FFE3h)   AF=0050 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023df] 23df FE0F   CP 0Fh         AF=0050 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023e1] 23e1 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00022a] 022a CDCE23 CALL 23CEh     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023ce] 23ce F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023d0] 23d0 FE0E   CP 0Eh         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023d2] 23d2 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00022d] 022d CDBF23 CALL 23BFh     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023bf] 23bf F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023c1] 23c1 FE0D   CP 0Dh         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023c3] 23c3 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000230] 0230 CDB023 CALL 23B0h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023b0] 23b0 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023b2] 23b2 FE0C   CP 0Ch         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023b4] 23b4 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000233] 0233 CDA123 CALL 23A1h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[0023a1] 23a1 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023a3] 23a3 FE0B   CP 0Bh         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[0023a5] 23a5 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000236] 0236 CD9223 CALL 2392h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002392] 2392 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002394] 2394 FE0A   CP 0Ah         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002396] 2396 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000239] 0239 CD8323 CALL 2383h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002383] 2383 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002385] 2385 FE09   CP 09h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[002387] 2387 C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00023c] 023c CD5823 CALL 2358h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002358] 2358 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00235a] 235a FE08   CP 08h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00235c] 235c C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00023f] 023f CD4923 CALL 2349h     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[002349] 2349 F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00234b] 234b FE07   CP 07h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00234d] 234d C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000242] 0242 CD3A23 CALL 233Ah     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[00233a] 233a F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00233c] 233c FE06   CP 06h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00233e] 233e C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[000245] 0245 CD2B23 CALL 232Bh     AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff5 P1=004000 vc=0 bI
[00232b] 232b F0E3   LD A,(FFE3h)   AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00232d] 232d FE05   CP 05h         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
[00232f] 232f C0     RET NZ         AF=0070 BC=0000 DE=00d8 HL=97ff SP=cff3 P1=004000 vc=0 bI
